DeviceName,Count
jinks-linux-remediation-prog.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,63045
jinks-linux-remediation.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,60173
linux-programmatic-fix-zach.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,36768
linux-target-1.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,32780
linuxprogrammaticdylan.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,31771
ubuntu24vm,30641
ubuntu24vm.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,21988
linux-vulnerability-test-zach.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,20352
linux-scan-agent-test-chris.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,16332
ubuntu-jr-threat-hunting.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,16068
riseup-migration-lab.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,15445
siem-test-vm.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,12918
fphilip-linux-remediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,11779
linux-scan-agent-test-josh.zi5bvzlx0idetcyt0okhu05hda.cx.internal.cloudapp.net,11519
riseup-migration-lab,11333
jjb-linux-vm-vulnerability-test.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,8215
stefano-linux-vm-agent.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,7778
pearl-linux.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,7123
mackvm-linux-agentbased.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,6717
jw-agentscan-linux.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net,6589
